Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
RedeCompras - Aeroclube,ChIJmXYNioDdrAcR_vQt0Ia4x1w,"R. Francisco Leocádio Ribeiro Coutinho, 601 - Aeroclube, João Pessoa",Manoá Residence,Comércio,supermarket,supermercado,-7.0851207,-34.8455221,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Posto Ipiranga,ChIJVVUFN5_drAcR-bN3Tp1TSoI,"R. Francisco Leocádio Ribeiro Coutinho, 209 - Sl 104 - Bessa, João Pessoa",Manoá Residence,Serviços,gas_station,posto de gasolina,-7.084789199999999,-34.8419363,"['gas_station', 'point_of_interest', 'establishment']"
Posto Ipiranga,ChIJQdSdApzdrAcROT7XNzKVTL0,"Rua Bel Irenaldo - R. Bacharel Irenaldo de Albuquerque Chaves, 30 - Aeroclube, João Pessoa",Manoá Residence,Serviços,gas_station,posto de gasolina,-7.0845435,-34.8458576,"['gas_station', 'car_wash', 'convenience_store', 'car_repair', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
UP Academia - Unidade Bessa,ChIJUZUVFKPdrAcRkZZOVXAimbY,"344, Rua Poeta Luiz Raimundo Batista de Carvalho, 302 - Jardim Oceania, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.0812206,-34.8362098,"['gym', 'health', 'point_of_interest', 'establishment']"
Selfit Academias Bessa,ChIJSw6aT57drAcROUpletJz8MA,"R. Bacharel José de Oliveira Curchatuz, 542 - Jardim Oceania, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.0804841,-34.8394114,"['gym', 'health', 'point_of_interest', 'establishment']"
Dinâmica Academia,ChIJbel-r7jdrAcRuSm4v-OxlXM,"R. Francisco Feitosa Palitot, 99 - Aeroclube, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.084193699999999,-34.843367,"['gym', 'health', 'point_of_interest', 'establishment']"
Formula Academia,ChIJ9x8UzKDdrAcRxSc-Apx_zgc,"Av. Fernando Luiz Henriques dos Santos, 1041 - Jardim Oceania, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.088095099999999,-34.83531070000001,"['gym', 'health', 'point_of_interest', 'establishment']"
Academia Kay France,ChIJ7xPk8bzdrAcRBSWuvkB_F6I,"R. Oceano Ártico, 21 - Jardim Oceania, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.078621800000001,-34.8368763,"['gym', 'health', 'point_of_interest', 'establishment']"
Natalia Rondon Pilates Funcional,ChIJ_2hur4rdrAcRoeNVfkl_7cM,"R. Poetisa Violeta Formiga, 50 - Aeroclube, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.0816279,-34.8401364,"['gym', 'health', 'point_of_interest', 'establishment']"
FYB Academia,ChIJ6RPSyqHdrAcRTUSw_Gj89jg,"R. Juíz João Navarro Filho, 141 - Jardim Oceania, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.0868281,-34.8390992,"['gym', 'health', 'point_of_interest', 'establishment']"
Centro de Treinamento Híbrido Coach Montanha,ChIJyblHnDzdrAcRo0Vw-EK807o,"R. Dr. Evandil Bandeira, 99 - Jardim Oceania, João Pessoa",Manoá Residence,Lazer/Fitness,gym,academia,-7.0792087,-34.8388302,"['gym', 'health', 'point_of_interest', 'establishment']"
Quitanda Restaurante Self-service - Restaurante Self-service no Bessa,ChIJx_zg1qDdrAcRBdZWM5peNss,"Av. Fernando Luiz Henriques dos Santos, 1131 - Jardim Oceania, João Pessoa",Manoá Residence,Alimentação,restaurant,restaurante,-7.087264599999999,-34.8352181,"['restaurant', 'meal_delivery', 'bar', 'point_of_interest', 'food', 'establishment']"
HAYTSU JAPANESE FOOD,ChIJZ7Jv1qPdrAcR3WxZbCfysi8,"R. Cel. José Gomes de Sá Filho, 321 - Loja 01 - Jardim Oceania, João Pessoa",Manoá Residence,Alimentação,restaurant,restaurante,-7.0869827,-34.8393281,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Arbóreo Ristorante,ChIJAxBWy-7drAcRQqr5UYo4zBw,"R. Garibaldi Teixeira de Carvalho, Nº 231 - Jardim Oceania, João Pessoa",Manoá Residence,Alimentação,restaurant,restaurante,-7.0776121,-34.8348792,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Drogaria Med Saúde JP,ChIJ88xkMLvdrAcR-29W7LJLPWg,"Av. Pombal, 665 - Manaíra, João Pessoa",Manaíra Palace Residence,Saúde,pharmacy,farmácia,-7.1067031,-34.8322652,"['drugstore', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
